gene_id,CONT1,CONT2,CONT3,CONT4,CONT5,CONT6,TREA1,TREA2,TREA3,TREA4,TREA5,TREA6
GENE00000,468,638,716,953,538,930,578,1008,366,236,883,674
GENE00001,47,48,68,89,99,80,149,123,72,72,46,76
GENE00002,499,698,836,276,394,333,682,363,479,324,395,499
GENE00003,330,994,1293,695,619,491,380,387,873,1076,885,375
GENE00004,20,22,39,30,30,14,28,12,16,16,41,22
GENE00005,849,1539,2113,1923,1475,1275,1812,692,1414,887,1293,1711
GENE00006,20,11,26,13,29,21,16,32,17,7,26,16
GENE00007,35,42,95,86,24,83,107,64,114,137,65,86
GENE00008,1149,1568,1257,706,1356,781,1288,1390,1351,931,1139,1478
GENE00009,126,115,38,74,119,219,216,130,80,119,120,104
GENE00010,13,11,35,19,18,24,15,12,16,25,11,13
GENE00011,19,14,31,42,14,10,19,24,10,16,24,10
GENE00012,23,37,32,18,24,12,44,51,43,43,17,35
GENE00013,35,33,39,44,70,54,20,35,53,49,41,47
GENE00014,382,222,254,278,245,181,321,366,181,308,363,380
GENE00015,95,98,42,41,72,51,90,100,67,108,73,116
GENE00016,10,9,9,17,23,40,20,15,21,13,25,17
GENE00017,227,222,136,112,117,228,158,106,209,210,204,242
GENE00018,681,651,1284,810,1386,1258,1264,689,1101,1145,1827,1585
GENE00019,10,9,14,28,21,2,18,9,17,18,10,14
GENE00020,536,1461,903,1533,859,578,799,1828,1638,1239,636,2132
GENE00021,27,30,19,9,16,16,18,20,13,21,22,19
GENE00022,2601,1027,1605,2111,991,1923,1434,2010,1655,570,1822,1053
GENE00023,163,260,338,205,207,416,340,292,200,285,238,267
GENE00024,75,58,25,28,54,29,45,41,21,21,27,84
GENE00025,35,101,71,80,133,133,118,120,164,204,116,115
GENE00026,4,7,4,3,10,3,3,3,6,5,9,5
GENE00027,646,996,306,595,573,346,660,607,555,548,953,512
GENE00028,169,180,98,90,167,126,136,161,121,74,164,137
GENE00029,21,11,22,23,31,28,19,17,34,18,11,20
GENE00030,1463,1859,1390,1383,1583,1175,636,2633,552,1685,2006,779
GENE00031,169,149,174,111,283,173,208,207,214,245,106,151
GENE00032,1446,1595,1847,1698,941,1360,453,3150,2327,1684,1352,2977
GENE00033,1356,1017,798,642,703,651,430,743,1028,789,1034,780
GENE00034,55,87,45,64,90,39,73,90,85,36,69,43
GENE00035,2,10,0,8,1,8,5,7,2,4,4,5
GENE00036,38,26,25,8,24,22,22,28,21,27,19,25
GENE00037,11,6,16,7,6,9,8,10,6,7,7,4
GENE00038,27,50,56,12,50,7,18,13,45,40,53,48
GENE00039,109,38,84,86,56,42,49,51,64,82,41,64
GENE00040,421,178,790,445,454,426,359,339,379,495,779,327
GENE00041,64,180,81,111,116,102,200,111,119,117,55,204
GENE00042,128,129,115,121,162,145,117,180,44,152,244,220
GENE00043,2233,1094,1388,1787,1376,2912,2098,1577,798,2553,2220,746
GENE00044,12,15,17,20,33,38,24,22,25,15,12,24
GENE00045,73,73,51,79,115,68,17,65,87,92,86,115
GENE00046,65,41,219,74,128,79,71,94,67,38,29,119
GENE00047,28,14,11,17,16,15,7,25,15,23,22,11
GENE00048,276,558,304,208,352,345,494,453,872,530,317,370
GENE00049,1864,1014,2026,2471,1067,1252,1255,1372,1987,902,1246,2196
GENE00050,170,171,128,210,84,155,231,107,99,101,129,187
GENE00051,25,71,13,30,27,36,45,59,29,53,38,34
GENE00052,41,83,42,37,37,43,60,83,12,15,53,40
GENE00053,924,1142,825,668,848,572,861,373,539,1367,619,449
GENE00054,53,54,85,113,66,66,66,63,96,61,95,109
GENE00055,7,16,13,16,8,11,14,15,11,14,12,13
GENE00056,33,83,20,30,17,33,21,33,40,44,46,49
GENE00057,543,608,617,759,509,865,371,698,856,504,347,471
GENE00058,188,249,213,258,363,202,402,166,131,93,313,186
GENE00059,2030,2422,1541,1042,1067,3075,1576,1101,1346,1019,1339,1284
GENE00060,26,24,40,30,38,16,19,47,26,32,25,62
GENE00061,450,1039,560,535,1127,339,777,463,621,1146,277,440
GENE00062,914,1640,2543,1604,1777,1895,705,887,463,1747,2014,1889
GENE00063,136,46,142,102,102,100,123,47,40,77,104,22
GENE00064,1,2,5,6,3,4,2,5,9,8,2,8
GENE00065,133,215,241,109,170,184,198,86,237,216,317,128
GENE00066,323,376,579,776,859,464,1016,1040,423,479,378,543
GENE00067,25,15,12,8,5,9,13,35,9,15,10,10
GENE00068,1741,1046,1171,1928,1561,1289,1513,3028,1657,2592,1828,2440
GENE00069,425,484,249,219,219,268,280,203,339,339,333,317
GENE00070,101,148,321,281,105,142,114,220,128,273,274,213
GENE00071,819,1955,1535,1402,2136,3390,626,1127,672,2055,1009,1644
GENE00072,432,143,158,154,174,163,149,171,186,98,224,190
GENE00073,7,11,7,8,4,12,5,5,13,3,12,3
GENE00074,15,11,9,8,4,1,10,10,5,5,10,5
GENE00075,47,123,109,29,37,51,38,37,35,95,92,53
GENE00076,136,207,183,228,205,747,151,97,109,45,420,165
GENE00077,177,340,379,342,268,450,146,220,489,325,167,312
GENE00078,3,5,5,5,6,3,9,4,6,0,8,3
GENE00079,4,2,4,3,12,5,1,10,11,13,7,5
GENE00080,12,17,23,31,19,37,17,18,13,23,34,43
GENE00081,22,34,13,11,15,27,24,41,27,24,14,29
GENE00082,47,9,32,17,19,9,26,13,12,23,32,23
GENE00083,922,352,1106,1983,1011,1271,1272,1244,522,902,2195,1062
GENE00084,240,240,179,45,108,210,146,129,251,278,251,320
GENE00085,438,1612,670,483,893,759,544,620,363,730,1049,638
GENE00086,1674,1750,1859,397,955,1313,949,1529,1000,1497,1107,1978
GENE00087,4,8,12,18,1,10,6,6,10,9,12,3
GENE00088,871,674,468,373,958,907,504,684,1163,1074,710,622
GENE00089,48,145,54,91,55,77,112,42,36,67,58,123
GENE00090,56,38,92,27,39,32,42,44,26,70,12,38
GENE00091,34,22,21,15,10,11,20,5,20,20,14,19
