gene_id,CONT1,CONT2,CONT3,CONT4,CONT5,CONT6,TREA1,TREA2,TREA3,TREA4,TREA5,TREA6
GENE00000,181,461,915,548,593,882,583,964,675,471,595,721
GENE00001,136,42,75,76,75,60,139,106,71,70,83,86
GENE00002,314,475,360,406,463,225,207,174,401,249,207,405
GENE00003,354,489,436,314,666,413,1055,679,553,229,679,378
GENE00004,15,14,15,27,37,21,13,34,13,18,23,24
GENE00005,1013,825,2848,2083,1615,505,1414,795,1798,1047,2539,1616
GENE00006,9,21,24,15,17,22,12,20,27,8,19,20
GENE00007,79,93,78,73,50,80,90,132,62,74,150,74
GENE00008,1011,841,894,816,849,924,1633,1715,1648,860,1533,1084
GENE00009,182,104,105,204,139,91,129,129,141,138,51,103
GENE00010,20,3,12,21,12,18,9,11,15,23,14,15
GENE00011,16,32,29,21,23,50,7,13,35,30,13,14
GENE00012,23,17,21,31,31,27,16,7,27,32,15,15
GENE00013,48,58,51,44,38,39,183,238,117,111,66,117
GENE00014,195,344,158,157,261,237,258,226,325,283,203,186
GENE00015,118,131,81,117,88,72,157,175,74,165,123,77
GENE00016,35,26,14,11,23,25,25,14,19,20,14,7
GENE00017,174,143,119,236,177,173,60,57,38,38,85,36
GENE00018,809,622,641,1270,910,947,1169,1078,1135,1443,193,1038
GENE00019,9,28,3,20,8,19,5,21,9,27,15,17
GENE00020,803,1186,1270,738,803,1308,529,526,367,447,350,406
GENE00021,30,10,5,11,25,26,11,15,31,11,17,21
GENE00022,746,777,2039,1873,1361,2110,2406,1289,1849,1392,2410,571
GENE00023,230,467,179,590,372,437,190,80,126,36,90,105
GENE00024,33,67,58,55,63,55,46,50,57,44,43,11
GENE00025,44,211,102,195,86,177,131,214,66,70,82,159
GENE00026,6,3,4,6,2,3,10,3,9,7,6,1
GENE00027,676,407,384,462,294,419,373,650,553,440,425,317
GENE00028,82,146,93,138,229,115,105,144,89,151,279,89
GENE00029,13,20,47,27,16,20,7,25,15,19,14,11
GENE00030,2114,2287,1090,1375,1380,1158,438,3331,1108,1024,950,1967
GENE00031,250,250,279,146,161,245,143,194,223,286,97,228
GENE00032,2099,1002,1509,638,1358,1245,1611,2638,2920,1354,1432,1248
GENE00033,1157,455,1724,470,1188,1331,1072,652,817,927,1117,564
GENE00034,39,100,67,74,125,47,84,53,95,84,103,59
GENE00035,4,4,1,5,11,3,2,17,10,7,6,4
GENE00036,22,11,12,31,49,11,2,10,3,5,5,7
GENE00037,8,3,11,3,9,5,6,1,8,2,2,1
GENE00038,18,42,18,45,10,83,35,37,30,27,23,8
GENE00039,51,61,106,52,62,111,72,113,43,102,67,95
GENE00040,621,346,1173,588,460,185,336,1050,764,577,513,476
GENE00041,162,148,135,225,125,97,108,116,126,93,90,214
GENE00042,98,199,127,26,140,106,143,122,118,187,74,204
GENE00043,1016,772,730,1112,1122,1007,1532,1660,2330,1431,1161,598
GENE00044,28,48,7,5,11,15,19,35,30,13,20,15
GENE00045,62,85,67,47,152,43,89,122,103,100,68,37
GENE00046,65,46,54,84,76,80,92,87,65,126,66,70
GENE00047,18,21,34,7,6,8,13,15,20,19,25,13
GENE00048,263,515,240,436,414,233,474,381,522,191,634,266
GENE00049,1286,1794,2293,916,1617,2008,2214,1632,995,1678,1251,2275
GENE00050,180,89,90,108,100,185,120,89,178,49,250,162
GENE00051,35,31,52,19,32,7,25,28,15,17,41,35
GENE00052,19,49,62,25,27,38,70,71,36,37,37,52
GENE00053,815,815,609,968,225,2744,895,1072,520,1169,651,913
GENE00054,87,44,81,107,130,85,61,75,83,114,69,57
GENE00055,14,7,10,15,18,13,7,14,4,13,11,7
GENE00056,40,38,53,60,29,28,38,41,30,57,25,47
GENE00057,999,372,745,771,632,948,518,1153,786,545,370,640
GENE00058,368,291,175,181,221,174,200,249,99,72,223,312
GENE00059,2588,2627,1036,1865,1543,1858,1125,1108,1916,701,3961,1061
GENE00060,52,21,11,18,14,41,31,35,48,28,23,21
GENE00061,614,611,739,828,379,556,597,768,764,520,653,431
GENE00062,831,1246,1557,1356,705,1375,897,809,1411,2274,2171,736
GENE00063,107,33,64,64,94,74,52,93,26,52,115,68
GENE00064,4,2,9,9,1,8,2,4,2,0,6,1
GENE00065,149,74,154,150,112,95,180,108,121,105,82,220
GENE00066,189,731,240,319,414,173,655,303,626,532,407,1556
GENE00067,9,8,18,21,10,25,15,22,15,25,23,6
GENE00068,1088,2027,1600,813,1029,1148,1203,1113,1232,956,653,1781
GENE00069,283,129,179,242,446,294,434,210,210,270,395,317
GENE00070,144,75,136,182,236,152,163,89,142,77,129,116
GENE00071,1559,757,1170,1662,2484,1581,1138,968,1456,613,694,2051
GENE00072,157,292,201,206,91,146,139,139,105,87,249,154
GENE00073,12,11,5,17,8,15,6,21,21,9,19,12
GENE00074,1,5,2,2,10,9,9,4,6,8,3,9
GENE00075,101,84,19,46,43,53,79,72,43,84,70,24
GENE00076,183,127,152,265,156,257,134,286,510,241,197,232
