# generated by stage 00 - do not edit
sample_id,lane,fastq_1,fastq_2
DEMO-01,L001,00_data/rnaseq_bulk/raw/DEMO-01_S1_L001_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-01_S1_L001_R2_001.fastq.gz
DEMO-01,L002,00_data/rnaseq_bulk/raw/DEMO-01_S1_L002_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-01_S1_L002_R2_001.fastq.gz
DEMO-02,L001,00_data/rnaseq_bulk/raw/DEMO-02_S1_L001_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-02_S1_L001_R2_001.fastq.gz
DEMO-02,L002,00_data/rnaseq_bulk/raw/DEMO-02_S1_L002_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-02_S1_L002_R2_001.fastq.gz
DEMO-03,L001,00_data/rnaseq_bulk/raw/DEMO-03_S1_L001_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-03_S1_L001_R2_001.fastq.gz
DEMO-03,L002,00_data/rnaseq_bulk/raw/DEMO-03_S1_L002_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-03_S1_L002_R2_001.fastq.gz
DEMO-04,L001,00_data/rnaseq_bulk/raw/DEMO-04_S1_L001_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-04_S1_L001_R2_001.fastq.gz
DEMO-04,L002,00_data/rnaseq_bulk/raw/DEMO-04_S1_L002_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-04_S1_L002_R2_001.fastq.gz
DEMO-05,L001,00_data/rnaseq_bulk/raw/DEMO-05_S1_L001_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-05_S1_L001_R2_001.fastq.gz
DEMO-05,L002,00_data/rnaseq_bulk/raw/DEMO-05_S1_L002_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-05_S1_L002_R2_001.fastq.gz
DEMO-06,L001,00_data/rnaseq_bulk/raw/DEMO-06_S1_L001_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-06_S1_L001_R2_001.fastq.gz
DEMO-06,L002,00_data/rnaseq_bulk/raw/DEMO-06_S1_L002_R1_001.fastq.gz,00_data/rnaseq_bulk/raw/DEMO-06_S1_L002_R2_001.fastq.gz
